"",""
"Action Type","Action Type"
"Ajax Catalog","Ajax Catalog"
"Auto-appearing on scrolling","Auto-appearing on scrolling"
"Enabled","Enabled"
"Frontend 'Back to Top' link label","Frontend 'Back to Top' link label"
"If this field is not filled, the 'Back to Top' string is used","If this field is not filled, the 'Back to Top' string is used"
"General","General"
"Loading...","Loading..."
"More products","More products"
"No","No"
"Show 'Back to Top' link","Show 'Back to Top' link"
"Show more button","Show more button"
"Yes","Yes"
