"%s %s will expire after %s day(s)","%s %s will expire after %s day(s)"
"Actions","Actions"
"Activate","Activate"
"Active","Active"
"Add Rate","Add Rate"
"Add Reward Points","Add Reward Points"
"Add Transaction","Add Transaction"
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"%s for birthday","%s for birthday"
"Advanced","Advanced"
"Applies only to registered customers, may vary when logged in.","It is applied only to registered customers, may vary when logged in."
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Are you sure to reset all transactions?","Are you sure you want to reset all transactions?"
"Back","Back"
"Back to Invitations","Back to Invitations"
"Balance Change","Balance Change"
"Balance is limited at %s  %s.","Balance is limited at %s  %s."
"Balance limitation:","Balance limitation:"
"Balance update email","Balance update email"
"Billing Address","Billing Address"
"Block title","Block title"
"Canceled","Canceled"
"Refund of %s item(s) related to order %s","Refund of %s item(s) related to order %s"
"Points canceled because of referral order refund","Points canceled because of referral order refund"
"Points canceled because of refund of %s item(s) related to order %s","Points canceled because of refund of %s item(s) related to order %s"
"Reward for birthday","Reward for birthday"
"Apply MSS rule:","Apply MSS rule:"
"Cancel earned points on order refund","Cancel earned points on order refund"
"Cannot load summary, action - %s, amount - %s","Cannot load summary, action - %s, amount - %s"
"Cannot save rate. Check if the same rate for this website and customer group exists","Cannot save rate. Check if the same rate for this website and customer group exists"
"Cart Attribute","Cart Attribute"
"Cart Item Attribute","Cart Item Attribute"
"Cart Subtotal:","Cart Subtotal:"
"Checkout","Checkout"
"Points calculation","Points calculation"
"Cancel earned points after order refunding","Cancel earned points after order refunding"
"Restore spent points after order refunding","Restore spent points after order refunding" 
"Points and Rewards Customer Birthday","Points and Rewards Customer Birthday"
"Points customer birthday email","Points customer birthday email"
"Checkout now and earn %s %s !","Checkout now and earn %s %s !"
"Checkout now and earn %s %s (%s) !","Checkout now and earn %s %s (%s) !"
"Comment","Comment"
"Comments and Balance Change cannot be empty, at least one customer must be selected","Comments and Balance Change cannot be empty, at least one customer must be selected"
"Conditions combination","Conditions combination"
"Conditions Combination","Conditions Combination"
"Conditions","Conditions"
"Configuration","Configuration"
"Consider newsletter signup by admin","Consider newsletter subscription by admin"
"Country","Country"
"Current Balance: <strong> %s %s </strong>","Current Balance: <strong> %s %s </strong>"
"Current exchange rates:","Current exchange rates:"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
"Customer Group IDs","Customer Group IDs"
"Customer Groups","Customer Groups"
"Customer Name","Customer Name"
"Customer Since","Customer Since"
"Customer with email: %s has already been  registered","Customer with email: %s has already been  registered"
"Date created","Date created"
"Date","Date"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Day limit for points for inviting a friend","Day limit for points for inviting a friend"
"days","days"
"Deactivate","Deactivate"
"Delete","Delete"
"Delete Rate","Delete Rate"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Discount Amount","Discount Amount"
"Discount :","Discount :"
"Discount","Discount"
"Discount%s","Discount%s"
"Each earned %s record expires in <span> %s </span> days","Each earned %s record expires in <span> %s </span> days"
"Each order","Each order"
"Each <strong> %s </strong> %s can be redeemed for <strong> %s </strong>.","Each <strong> %s </strong> %s can be redeemed for <strong> %s </strong>."
"Each <strong> %s </strong> spent will earn <strong> %s </strong> %s.","Each <strong> %s </strong> spent will earn <strong> %s </strong> %s."
"Earning Points","Earning Points"
"Earning Points","Earning Points"
"Edit Rate #%s","Edit Rate #%s"
"Edit Rule '%s'","Edit Rule '%s'"
"E-mail","E-mail"
"Email","Email"
"Email Notification Settings","Email Notification Settings"
"Email Notification Settings was not changed","Email Notification Settings was not changed"
"Email sending before points expiring (in days)","Email sending before points expiring (in days)"
"Email wasn\'t sent. Please try later.","Email wasn\'t sent. Please try later."
"empty or 0 - no limitations","empty or 0 - no limitations"
"Enable","Enable"
"Enable notifications","Enable notifications"
"Enable referral system","Enable referral system"
"Enable rewards history","Enable rewards history"
"Enter a negative number to subtract from balance","Enter a negative number to subtract from balance"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"Earn Rate","Earn Rate"
"Error on saving invitation data for email: %s","Error on saving invitation data for email: %s"
"Error while resetting transaction(s)","Error while resetting transaction(s)"
"Error while saving transaction","Error while saving transaction"
"Error while subscribing for newsletter","Error while subscribing for newsletter"
"Exchange rates are incorrect","Exchange rates are incorrect"
"Excl. Tax","Excl. Tax"
"Expiration Date","Expiration Date"
"Expire at: %s","Expire at: %s"
"Expires on %s","Expires on %s"
"Fields","Fields"
"First order","First order"
"From Date","From Date"
"From:","From:"
"From","From"
"General","General"
"General Information","General Information"
"Gift Certificate","Gift Certificate"
"Gift Message for this Order","Gift Message for this Order"
"Grand Total","Grand Total"
"Grand Total to be charged","Grand Total to be charged"
"greater than","greater than"
"Group","Group"
"Guest can not work with points","Guest can not work with points"
"Identifier","Identifier"
"ID","ID"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"Inactive","Inactive"
"Incl. Tax","Incl. Tax"
"Incorrect points amount","Incorrect points amount"
"Info Page","Info Page"
"Invitation accepted","Invitation accepted"
"Invitation e-mail","Invitation e-mail"
"Invitation for email: %s has already been  registered","Invitation for email: %s has already been  registered"
"Invitation for %s has been sent.","Invitation for %s has been sent."
"Invitation for %s is not sent. Please try later.","Invitation for %s is not sent. Please try later."
"Invitation sent","Invitation sent"
"Invitee became a customer","Invitee became a customer"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"Invoice #","Invoice #"
"Invoice #%s","Invoice #%s"
"Invoices","Invoices"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"Item","Item"
"Items Invoiced","Items Invoiced"
"Items Ordered","Items Ordered"
"Items Refunded","Items Refunded"
"learn more...","learn more..."
"Learn more","Learn more" 
"Customers can be filtered using Market Segmentation Suite rules. %s","Customers can be filtered using Market Segmentation Suite rules. %s"
"leave empty to disable","leave empty to disable"
"less than","less than"
"Maximum available points balance","Maximum available points balance"
"Message:","Message:"
"Message","Message"
"Minimum reward points balance to be available to redeem","Minimum reward points balance to be available to redeem"
"My Cart","My Cart"
"My Invitation","My Invitation"
"My test notice","My test notice"
"Name","Name"
"Name: %s","Name: %s"
"New Rule","New Rule"
"Newsletter signup","Newsletter signup"
"-- None --","-- None --"
"No","No"
"Notice","Notice"
"Notifications","Notifications"
"No Transactions Found","No Transactions Found"
"of %s %s (%s) available","of %s %s (%s) available"
"Only those who purchased product can gain points","Only those who purchased product can gain points"
"Order Date: %s","Order Date: %s"
"Ordered","Ordered"
"Order #%s","Order #%s"
"Order Subtotal","Order Subtotal"
"Participating in poll","Participating in poll"
"Participating in poll points/day limit","Participating in poll points/day limit"
"Payment Method","Payment Method"
"Please enter new rule name","Please enter new rule name"
"Points and Rewards Balance Update","Points and Rewards Balance Update"
"Points and Rewards Expiration Warning","Points and Rewards Expiration Warning"
"Points and Rewards Invtation","Points and Rewards Invtation"
"Points and Rewards Invitation",""Points and Rewards Invitation"
"Points awarded to customers for their referral's purchases (fixed points amount)","Points awarded to customers for their referral's purchases (fixed points amount)"
