"Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:","Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:"
"The extension is not registered for the website selected. Please register it with an additional S/N.","The extension is not registered for the website selected. Please register it with an additional S/N."
"Register","Register"
"Settings have been saved","Settings have been saved"
"Settings have not been saved","Settings have not been saved"
"Save Config","Save Config"
"Quick Buy Configuration","Quick Buy Configuration"
"Extension Enabled","Extension Enabled"
"Yes","Yes"
"No","No"
"Settings","Settings"
"Current Configuration Scope:","Current Configuration Scope:"
"Sel","Sel"
"Product","Product"
"Category","Category"
"SKU","SKU"
"Price","Price"
"Preview","Preview"
"Search Products","Search Products"
"You can search products by SKU, Title, Description or Category","You can search products by SKU, Title, Description or Category"
"Selected Products","Selected Products"
"No products found","No products found"
"Quick Buy","Quick Buy"
"none","none"
"Items","Items"
"to","to"
"of","of"
"total","total"
"Page","Page"
"Add to the List","Add to the List"
"From","From"
"To","To"
"As low as","As low as"
"No products found","No products found"
"contains options","contains options"
"Qty","Qty"
"Expand all","Expand all"
"Collapse all","Collapse all"
"contains associated products","contains associated products"
"Associated Products","Associated Products"
"Options","Options"
"Custom Options","Custom Options"
"Choose an Option...","Choose an Option..."
"Products have been added to the cart","Products have been added to the cart"
"required fields","required fields"
"none","none"
"Do you really want to remove this product from the list?","Do you really want to remove this product from the list?"
"Loading... Please wait","Loading... Please wait"
"view the product details","view the product details"
"Quick Order Form\'s frontend URL","Quick Order Form\'s frontend URL"
"Fill all required fields","Fill all required fields"
"out of stock","out of stock"
"incl. tax","incl. tax"
"excl. tax","excl. tax"
"Some products have not been added to the cart","Some products have not been added to the cart"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Maximum image width","Maximum image width"
"Maximum image height","Maximum image height"
"Some date field is not complete","Some date field is not complete"
"Some date is not valid","Some date is not valid"
"Some file has not allowed extension","Some file has not allowed extension"
"Search Engine","Search Engine"
"no category","no category"
"cache lifetime","cache lifetime"
"min","min"
"Progressive Cache-based","Progressive Cache-based"
"Standard SQL-based","Standard SQL-based"
"minimum %d","minimum %d"
"in increments of %d","in increments of %d"
"Available for purchase in increments of %d","Available for purchase in increments of %d"
"Minimum QTY allowed in Shopping Cart is %d","Minimum QTY allowed in Shopping Cart is %d"
"%s: The minimum quantity allowed for purchase is %d","%s: The minimum quantity allowed for purchase is %d"
"%s (%s): The maximum quantity allowed for purchase is %d","%s (%s): The maximum quantity allowed for purchase is %d"
"%s (%s): The minimum quantity allowed for purchase is %d","%s (%s): The minimum quantity allowed for purchase is %d"
"%s (%s) is available for purchase in increments of %d only.","%s (%s) is available for purchase in increments of %d only."
